,name,Code,lat,lon,ligne,ville
227,Bibliothèques Universitaires,SEM:GENBIBLIUNI,45.19246,5.7709,C5,Gières
228,Universités - Biologie,SEM:GENBIOLOGIE,45.19195,5.77474,C5,Gières
229,Henri Wallon,SEM:GENHENRIWAL,45.17563,5.76392,C6,Saint-Martin-d'Hères
230,Pablo Neruda,SEM:GENPABLONER,45.17395,5.76074,C6,Saint-Martin-d'Hères
231,Etienne Grappe,SEM:GENETIEGRAP,45.17213,5.75769,C6,Saint-Martin-d'Hères
232,8 mai 1945,SEM:GEN8MAI1945,45.17106,5.75682,C6,Saint-Martin-d'Hères
233,Zella Mehlis,SEM:GENZELLAMEL,45.16707,5.75354,C6,Saint-Martin-d'Hères
234,Chopin,SEM:GENCHOPIN,45.16605,5.75142,C6,Saint-Martin-d'Hères
235,Le Marais,SEM:GENLEMARAIS,45.16412,5.75044,C6,Saint-Martin-d'Hères
236,La Châtelière,SEM:GENCHATELIE,45.16217,5.74903,C6,Eybens
237,Général de Gaulle,SEM:GENDEGAULLE,45.16163,5.74447,C6,Eybens
238,Collège des Saules,SEM:GENCOLLSAUL,45.16143,5.74306,C6,Eybens
239,Raymond Chanas,SEM:GENRAYCHANA,45.15968,5.73822,C6,Grenoble
240,Grand'place,SEM:GENGRDPLACE,45.15893,5.73179,C6,Grenoble
241,Edmond Esmonin,SEM:GENEDMOESMO,45.15937,5.72662,C6,Grenoble
242,Maison des Anciens,SEM:GENMAISANCI,45.15975,5.72325,C6,Grenoble
243,Essarts - La Butte,SEM:GENESSARTS,45.15588,5.71909,C6,Échirolles
244,Seyssins Rondeau,SEM:GENSEYSROND,45.16035,5.69373,C6,Seyssins
245,Le Prisme,SEM:GENPRISME,45.16639,5.69055,C6,Seyssins
246,Tuilerie,SEM:GENTUILERIE,45.16906,5.69215,C6,Seyssins
247,Grand Pré - Centre Sud,SEM:GENCENTRESU,45.17084,5.69457,C6,Seyssins
248,La Plaine,SEM:GENLAPLAINE,45.1726,5.69689,C6,Seyssinet-Pariset
249,Beau Site,SEM:GENBEAUSITE,45.17591,5.69696,C6,Seyssinet-Pariset
250,L'Arche,SEM:GENCENTRSOC,45.17817,5.69702,C6,Seyssinet-Pariset
251,Seyssinet-Pariset Hôtel de Ville,SEM:GENSEYHDV,45.18032,5.69707,C6,Seyssinet-Pariset
252,Les Iles,SEM:GENLESILES,45.1841,5.69716,C6,Seyssinet-Pariset
253,Aristide Bergès,SEM:GENARBERGES,45.18551,5.69465,C6,Seyssinet-Pariset
254,Louis Maisonnat,SEM:GENMAISONNA,45.18912,5.69409,C6,Fontaine
255,Curie - Vercors,SEM:GENCURIVERC,45.19188,5.69505,C6,Fontaine
256,Rue Pasteur,SEM:GENRUEPASTE,45.19421,5.69473,C6,Fontaine
257,Charmettes,SEM:GENCHARMETT,45.1974,5.69355,C6,Fontaine
258,Saint-Eynard,SEM:GENSTEYNARD,45.20113,5.69021,C6,Fontaine
259,La Sure,SEM:GENLASURE,45.20279,5.68586,C6,Fontaine
260,Chamechaude,SEM:GENCHAMECHA,45.2051,5.68348,C6,Sassenage
261,Martyrs - Résistance,SEM:GENMARESIST,45.2081,5.69661,C6,Grenoble
262,Oxford,SEM:GENPRESQUIL,45.20613,5.6994,C6,Grenoble
263,Universités - IUT - UFRAPS,SEM:GENIUTUFRAP,45.19766,5.77588,C7,Gières
264,Epicéa,SEM:GENEPICEA,45.19496,5.77481,C7,Gières
265,Universités - Biologie,SEM:GENBIOLOGIE,45.19195,5.77474,C7,Gières
266,Bibliothèques Universitaires,SEM:GENBIBLIUNI,45.19246,5.7709,C7,Gières
267,Les Alpilles,SEM:GENPROMOSOC,45.18714,5.76958,C7,Saint-Martin-d'Hères
268,Champ Roman,SEM:GENCHAMPROM,45.18438,5.76824,C7,Saint-Martin-d'Hères
269,Coli,SEM:GENCOLI,45.18073,5.76596,C7,Saint-Martin-d'Hères
270,Rocheplane,SEM:GENROCHEPLA,45.1783,5.76236,C7,Saint-Martin-d'Hères
271,Henri Wallon,SEM:GENHENRIWAL,45.17563,5.76392,C7,Saint-Martin-d'Hères
272,Pablo Neruda,SEM:GENPABLONER,45.17395,5.76074,C7,Saint-Martin-d'Hères
273,Etienne Grappe,SEM:GENETIEGRAP,45.17213,5.75769,C7,Saint-Martin-d'Hères
274,Potié,SEM:GENPOTIE,45.17088,5.75859,C7,Saint-Martin-d'Hères
275,Croix du Pâtre,SEM:GENCXPATRE,45.16821,5.76174,C7,Saint-Martin-d'Hères
276,Saint-Martin-d'Hères Village,SEM:GENSMHVILLA,45.16512,5.76552,C7,Saint-Martin-d'Hères
277,Le Carina,SEM:GENCARINA,45.16238,5.76305,C7,Saint-Martin-d'Hères
278,Centre Socio-Culturel,SEM:GENCENSOCIO,45.15886,5.75948,C7,Poisat
279,Champ Fila,SEM:GENCHAMPFIL,45.15627,5.75505,C7,Eybens
280,Odyssée,SEM:GENODYSSEE,45.15273,5.74876,C7,Eybens
281,Les Ruires-Boétie,SEM:GENRUIRES,45.14932,5.74122,C7,Eybens
282,François Quesnay,SEM:GENFRQUESNA,45.1479,5.73517,C7,Échirolles
283,Hôpital Sud,SEM:GENHOPITSUD,45.1469,5.73274,C7,Échirolles
284,Ecoles Hospitalières,SEM:GENECOLHOSP,45.14638,5.72973,C7,Échirolles
285,Le Château,SEM:GENCHATEAU,45.14732,5.72671,C7,Échirolles
286,Antoine Polotti,SEM:GENPOLOTTI,45.1486,5.72251,C7,Échirolles
287,La Rampe - Centre-Ville,SEM:GENRAMPE,45.14948,5.71818,C7,Échirolles
288,Fernand Pelloutier,SEM:GENPELLOUTI,45.15084,5.71482,C7,Échirolles
289,Grugliasco,SEM:GENGRUGLIAS,45.15127,5.70946,C7,Échirolles
290,Quinzaine,SEM:GENQUINZAIN,45.15149,5.70664,C7,Échirolles
291,Bayard,SEM:GENBAYARD,45.14591,5.70478,C7,Échirolles
292,Colonel Manhès,SEM:GENCOLMANHE,45.14647,5.70177,C7,Échirolles
293,Musée Géo Charles,SEM:GENMUSGEOCH,45.14878,5.70172,C7,Échirolles
294,Drac,SEM:GENDRAC2,45.14895,5.69397,C7,Échirolles
295,Comboire,SEM:GENCOMBOIRE,45.14583,5.69081,C7,Échirolles
296,Abbé Grégoire,SEM:GENABBEGREG,45.18388,5.71174,12,Grenoble
297,Les Alloves,SEM:GENALLOVES,45.17204,5.76518,12,Saint-Martin-d'Hères
298,Glaïeuls,SEM:GENGLAIEULS,45.16964,5.76358,12,Saint-Martin-d'Hères
299,Croix du Pâtre,SEM:GENCXPATRE,45.16821,5.76174,12,Saint-Martin-d'Hères
300,Potié,SEM:GENPOTIE,45.17088,5.75859,12,Saint-Martin-d'Hères
301,Etienne Grappe,SEM:GENETIEGRAP,45.17213,5.75769,12,Saint-Martin-d'Hères
302,Edmond Rostand,SEM:GENEDROSTAN,45.17446,5.75432,12,Saint-Martin-d'Hères
303,Houille Blanche,SEM:GENHOUILLEB,45.17794,5.7517,12,Saint-Martin-d'Hères
304,Bon Pasteur,SEM:GENBONPASTE,45.17875,5.7509,12,Grenoble
305,Grand Châtelet,SEM:GENGDCHATEL,45.18194,5.74841,12,Saint-Martin-d'Hères
306,Jeanne d'Arc,SEM:GENJEANNARC,45.18177,5.74518,12,Grenoble
307,Madeleine,SEM:GENMADELEIN,45.18515,5.74324,12,Grenoble
308,Bir Hakeim,SEM:GENBIRHAKEI,45.18886,5.73639,12,Grenoble
309,Verdun - Préfecture,SEM:GENVERDUN,45.1883,5.73144,12,Grenoble
310,Docteur Martin,SEM:GENDRMARTIN,45.18731,5.72728,12,Grenoble
